id,_datalake_updated_at,created_at,updated_at,merchant_id,entity_id,type,amount,fee,mdr,tax,pricing_rule_id,debit,credit,currency,balance,gateway_amount,gateway_fee,gateway_service_tax,api_fee,gratis,fee_credits,escrow_balance,channel,fee_bearer,fee_model,credit_type,on_hold,settled,settled_at,gateway_settled_at,settlement_id,reconciled_at,reconciled_type,balance_id,reference3,reference4,balance_updated,reference6,reference7,reference8,reference9,reference10,posted_at,_is_row_deleted,_is_row_duplicate,amount_captured,_record_source,created_date
RrQIId9erpoIGK,1765774417,1765700363,1765774169,MDFIb0f9JY9Yt1,RrQHFDvwIQIKiH,payment,500000,708,708,108,null,0,500000,INR,1123300000,500000,null,null,0,0,0,null,,0,1,default,0,1,1765773116,null,Rrkx91KZwibsbK,1765764361,mis,MRuWgIu3OK9dtM,enabled,null,1,null,null,null,null,null,null,null,0,null,prod_makeshift_transactions,2025-12-14
RrW7WW8qPFUtEB,1765765008,1765720881,1765764541,Kuc28afoqxiGKB,RrW6cHykuVRBUv,payment,29961390,944,944,144,null,0,29961390,INR,7492873288,29961390,null,null,0,0,944,null,,0,0,fee,0,0,1765720881,null,null,1765764361,mis,NOsei4JEXCPERr,enabled,null,1,null,null,null,null,null,null,null,0,null,prod_makeshift_transactions,2025-12-14
RrDWNGfYnoxSzG,1765774417,1765655382,1765774356,JeX4AZFKjz65LV,RrDUuPj8FWFfC5,payment,8000000,472,472,72,null,0,8000000,INR,11143731900,8000000,null,null,0,0,0,null,,0,1,default,0,1,1765773134,null,RrkxSbKEyX29OC,1765764361,mis,JmUjaxYf3kXUxt,enabled,null,1,null,null,null,null,null,null,null,0,null,prod_makeshift_transactions,2025-12-14
RrLNCP5D2GtEln,1765774417,1765683034,1765774356,JeX4AZFKjz65LV,RrLMUpqJrlg4R6,payment,20000000,472,472,72,null,0,20000000,INR,11523996700,20000000,null,null,0,0,0,null,,0,1,default,0,1,1765773134,null,RrkxSbKEyX29OC,1765764361,mis,JmUjaxYf3kXUxt,enabled,null,1,null,null,null,null,null,null,null,0,null,prod_makeshift_transactions,2025-12-14
